class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,confidence,File Name
blurry.complete,0.1811565,0.28705425,0.051580087485385305,0.07678041026850532,0.919767,T16L600_W1_GC1_R2_P93_g49_3
complete,0.911124,0.2519575,0.05592389279190067,0.07081357951692592,0.886562,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.022722550999999997,0.2845955,0.05362365169111483,0.04316601362653744,0.883274,T16L600_W1_GC1_R2_P93_g49_3
complete,0.5743905,0.987026,0.0236010595101152,0.07842861662046571,0.872881,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.120208075,0.504189,0.050084118393059505,0.07452085651742067,0.859662,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.9662977500000001,0.7666885,0.05751118223441424,0.06941334022361989,0.858312,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.1954875,0.7984595000000001,0.055533145219769375,0.07950865203234174,0.853648,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.8874445,0.47164425,0.0562346479405713,0.08666262170047702,0.797582,T16L600_W1_GC1_R2_P93_g49_3
hair,0.2300195,0.013346199999999999,0.029532508789765897,0.05065245195042783,0.778059,T16L600_W1_GC1_R2_P93_g49_3
complete,0.379006,0.7883265,0.05192928484968766,0.07561531532698916,0.691916,T16L600_W1_GC1_R2_P93_g49_3
complete,0.01852627075,0.8030595,0.03714411721145027,0.05338233759022546,0.671393,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.277172,0.502172,0.05119875475048199,0.07873366814774987,0.579401,T16L600_W1_GC1_R2_P93_g49_3
complete,0.7682147500000001,0.7778379999999999,0.056158771042464965,0.08295129401040105,0.54319,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.769503,0.7775765,0.052808466631781764,0.08273230075973952,0.540936,T16L600_W1_GC1_R2_P93_g49_3
complete,0.8333605,0.9873572500000001,0.021711007461654136,0.07734907964546184,0.518193,T16L600_W1_GC1_R2_P93_g49_3
blurry.complete,0.9880127500000001,0.9829032499999999,0.029773412367412662,0.02419561092429781,0.49912,T16L600_W1_GC1_R2_P93_g49_3
